Name,Owner,URL,CreatedAt,UpdatedAt,StargazerCount,ForkCount,PrimaryLanguage,Watchers,Releases
Python,TheAlgorithms,https://github.com/TheAlgorithms/Python,2016-07-16T09:44:01Z,2020-10-08T00:13:15Z,88132,25788,Python,4725,0
Python,geekcomputers,https://github.com/geekcomputers/Python,2011-11-30T09:04:08Z,2020-10-08T00:02:26Z,18961,9012,Python,2155,0
Python,injetlee,https://github.com/injetlee/Python,2016-06-23T15:15:23Z,2020-10-07T15:59:08Z,5851,3135,Python,605,0
Python,TwoWater,https://github.com/TwoWater/Python,2017-06-07T11:52:22Z,2020-10-07T23:44:10Z,7431,2408,,546,0
python,Show-Me-the-Code,https://github.com/Show-Me-the-Code/python,2014-11-28T01:39:43Z,2020-10-07T05:57:07Z,2969,2504,HTML,487,0
python,kubernetes-client,https://github.com/kubernetes-client/python,2016-10-31T20:08:03Z,2020-10-07T05:38:12Z,3094,1830,Python,122,47
python,xxg1413,https://github.com/xxg1413/python,2012-09-06T07:00:59Z,2020-10-07T01:28:22Z,2114,1175,,341,0
PythonDataScienceHandbook,jakevdp,https://github.com/jakevdp/PythonDataScienceHandbook,2016-08-10T14:24:36Z,2020-10-07T23:12:16Z,25801,11445,Jupyter Notebook,1579,0
python,docker-library,https://github.com/docker-library/python,2014-06-20T22:55:57Z,2020-10-07T21:58:28Z,1472,645,Dockerfile,101,0
awesome-python,vinta,https://github.com/vinta/awesome-python,2014-06-27T21:00:06Z,2020-10-07T23:21:45Z,87380,17189,Python,5356,0
Python-100-Days,jackfrued,https://github.com/jackfrued/Python-100-Days,2018-03-01T16:05:52Z,2020-10-08T00:10:56Z,93467,37569,Python,5892,0
PythonRobotics,AtsushiSakai,https://github.com/AtsushiSakai/PythonRobotics,2016-03-21T09:34:43Z,2020-10-07T20:33:50Z,10294,3340,Jupyter Notebook,451,0
Complete-Python-3-Bootcamp,Pierian-Data,https://github.com/Pierian-Data/Complete-Python-3-Bootcamp,2018-02-12T19:30:10Z,2020-10-07T21:02:45Z,12343,45294,Jupyter Notebook,2143,0
learn-python3,michaelliao,https://github.com/michaelliao/learn-python3,2015-05-15T05:29:05Z,2020-10-06T09:59:40Z,4788,4407,,546,0
python3-cookbook,yidao620c,https://github.com/yidao620c/python3-cookbook,2014-08-19T03:13:07Z,2020-10-07T01:12:56Z,8453,2462,Jupyter Notebook,508,5
PythonSpiderNotes,lining0806,https://github.com/lining0806/PythonSpiderNotes,2015-08-19T03:48:30Z,2020-10-07T16:40:22Z,5041,1985,Python,371,0
python-patterns,faif,https://github.com/faif/python-patterns,2012-06-06T21:02:35Z,2020-10-07T23:42:58Z,26004,5459,Python,1641,0
python-guide,realpython,https://github.com/realpython/python-guide,2011-03-15T03:24:20Z,2020-10-07T21:59:12Z,21684,5466,Batchfile,1376,0
awesome-python3-webapp,michaelliao,https://github.com/michaelliao/awesome-python3-webapp,2015-05-20T22:09:21Z,2020-10-07T14:31:18Z,1934,2743,,167,0
learn_python3_spider,wistbean,https://github.com/wistbean/learn_python3_spider,2019-04-02T20:19:54Z,2020-10-07T16:40:22Z,4800,1428,Python,244,0
interview_python,taizilongxu,https://github.com/taizilongxu/interview_python,2015-04-05T02:59:59Z,2020-10-07T05:20:12Z,13123,5110,Shell,853,0
python-spider,Jack-Cherish,https://github.com/Jack-Cherish/python-spider,2017-05-05T07:28:13Z,2020-10-07T16:53:07Z,11392,4544,Python,586,0
awesome-python-cn,jobbole,https://github.com/jobbole/awesome-python-cn,2015-11-03T09:50:50Z,2020-10-07T15:47:27Z,20035,6536,Makefile,2017,0
python-cheatsheet,gto76,https://github.com/gto76/python-cheatsheet,2018-01-25T04:16:53Z,2020-10-07T07:42:59Z,15532,3032,Python,655,0
pythonVSCode,DonJayamanne,https://github.com/DonJayamanne/pythonVSCode,2016-01-19T10:50:01Z,2020-10-07T18:00:55Z,1965,897,TypeScript,87,51
cpython,python,https://github.com/python/cpython,2017-02-10T19:23:51Z,2020-10-07T23:43:59Z,33863,16331,Python,1325,0
Python-programming-exercises,zhiwehu,https://github.com/zhiwehu/Python-programming-exercises,2012-06-14T07:56:46Z,2020-10-07T21:40:07Z,11778,5203,,713,0
PythonBooks,revolunet,https://github.com/revolunet/PythonBooks,2012-08-26T00:18:06Z,2020-10-05T21:56:33Z,1633,793,CSS,252,0
LearnPython,xianhu,https://github.com/xianhu/LearnPython,2016-10-13T02:30:15Z,2020-10-07T15:19:44Z,5258,3213,Jupyter Notebook,417,0
python3-in-one-pic,coodict,https://github.com/coodict/python3-in-one-pic,2015-06-28T12:19:54Z,2020-10-07T12:14:46Z,4220,898,Jupyter Notebook,345,0
notes-python,lijin-THU,https://github.com/lijin-THU/notes-python,2015-10-08T09:30:56Z,2020-10-07T01:48:36Z,5722,2781,Jupyter Notebook,549,0
python-machine-learning-book,rasbt,https://github.com/rasbt/python-machine-learning-book,2015-08-07T20:39:29Z,2020-10-07T07:23:12Z,10909,4230,Jupyter Notebook,834,3
practical-python,dabeaz-course,https://github.com/dabeaz-course/practical-python,2020-05-24T19:50:08Z,2020-10-07T22:37:30Z,5443,2713,Python,236,0
aima-python,aimacode,https://github.com/aimacode/aima-python,2016-02-02T00:11:19Z,2020-10-07T19:03:29Z,5037,2410,Jupyter Notebook,323,0
learn-python3,jerry-git,https://github.com/jerry-git/learn-python3,2018-05-01T11:46:24Z,2020-10-08T00:01:11Z,2556,647,Python,150,0
python_koans,gregmalcolm,https://github.com/gregmalcolm/python_koans,2010-03-01T17:04:31Z,2020-10-07T12:14:14Z,4171,2487,Python,306,0
deep-learning-with-python-notebooks,fchollet,https://github.com/fchollet/deep-learning-with-python-notebooks,2017-09-05T19:47:56Z,2020-10-07T18:31:47Z,11259,5676,Jupyter Notebook,590,0
python-docs-samples,GoogleCloudPlatform,https://github.com/GoogleCloudPlatform/python-docs-samples,2015-05-04T23:26:13Z,2020-10-07T21:42:57Z,4506,4605,Python,270,0
awesome-python-login-model,Kr1s77,https://github.com/Kr1s77/awesome-python-login-model,2019-01-20T10:43:13Z,2020-10-07T03:16:58Z,12358,2687,Python,434,0
python-fire,google,https://github.com/google/python-fire,2017-02-21T21:35:07Z,2020-10-08T00:13:40Z,17788,1095,Python,389,7
python-telegram-bot,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,2015-07-07T15:30:39Z,2020-10-07T19:40:14Z,11902,2531,Python,476,75
awesome-python-applications,mahmoud,https://github.com/mahmoud/awesome-python-applications,2018-11-14T07:36:44Z,2020-10-07T14:22:05Z,11923,2132,Jupyter Notebook,726,0
python-scraping,REMitchell,https://github.com/REMitchell/python-scraping,2015-06-14T15:32:58Z,2020-10-07T14:26:44Z,3029,1887,Jupyter Notebook,360,0
Python3-Spider,wkunzhi,https://github.com/wkunzhi/Python3-Spider,2019-03-27T02:52:43Z,2020-10-07T12:57:53Z,1370,528,Python,62,0
ISLR-python,JWarmenhoven,https://github.com/JWarmenhoven/ISLR-python,2015-06-14T16:14:00Z,2020-10-07T08:26:43Z,2545,1753,Jupyter Notebook,179,0
Machine-Learning-with-Python,susanli2016,https://github.com/susanli2016/Machine-Learning-with-Python,2017-05-26T08:55:48Z,2020-10-07T21:04:26Z,2608,3311,Jupyter Notebook,256,0
python-cookbook,dabeaz,https://github.com/dabeaz/python-cookbook,2013-04-08T11:01:19Z,2020-10-05T16:25:39Z,2929,1465,Python,233,0
interesting-python,Alfred1984,https://github.com/Alfred1984/interesting-python,2018-03-16T02:54:02Z,2020-10-06T13:53:39Z,3344,1317,Jupyter Notebook,183,0
kafka-python,dpkp,https://github.com/dpkp/kafka-python,2012-09-24T13:00:26Z,2020-10-07T21:11:30Z,4034,1095,Python,145,34
matplotlib,matplotlib,https://github.com/matplotlib/matplotlib,2011-02-19T03:17:12Z,2020-10-08T00:11:12Z,12377,5388,Python,575,49
introduction_to_ml_with_python,amueller,https://github.com/amueller/introduction_to_ml_with_python,2016-05-29T18:29:47Z,2020-10-07T14:37:23Z,4916,3205,Jupyter Notebook,359,0
learn-python,trekhleb,https://github.com/trekhleb/learn-python,2018-08-29T15:20:05Z,2020-10-07T19:39:01Z,5156,916,Python,418,0
python-mode,python-mode,https://github.com/python-mode/python-mode,2011-09-18T09:41:07Z,2020-10-06T12:06:01Z,5103,882,Vim script,294,1
python-instagram,facebookarchive,https://github.com/facebookarchive/python-instagram,2011-02-02T02:45:23Z,2020-10-07T19:01:46Z,2783,1145,Python,258,0
PythonPlantsVsZombies,marblexu,https://github.com/marblexu/PythonPlantsVsZombies,2019-08-28T13:34:16Z,2020-10-07T23:49:17Z,1504,348,Python,49,0
Complete-Python-Bootcamp,jmportilla,https://github.com/jmportilla/Complete-Python-Bootcamp,2015-09-06T18:35:51Z,2020-10-07T13:00:21Z,1655,2614,Jupyter Notebook,419,0
google-api-python-client,googleapis,https://github.com/googleapis/google-api-python-client,2014-01-08T21:55:56Z,2020-10-07T21:41:27Z,4108,1744,Python,250,43
