1,Python,2016-07-16T09:44:01Z,2020-10-03T00:43:32Z,86339,25376,TheAlgorithms,Python,0
2,Python,2011-11-30T09:04:08Z,2020-10-02T23:46:16Z,18806,8910,geekcomputers,Python,0
3,Python,2016-06-23T15:15:23Z,2020-10-02T22:06:26Z,5837,3130,injetlee,Python,0
4,Python,2017-06-07T11:52:22Z,2020-10-02T06:52:54Z,7404,2401,TwoWater,,0
5,python,2014-11-28T01:39:43Z,2020-10-02T19:27:02Z,2967,2489,Show-Me-the-Code,HTML,0
6,python,2016-10-31T20:08:03Z,2020-10-02T11:10:38Z,3082,1825,kubernetes-client,Python,47
7,python,2012-09-06T07:00:59Z,2020-10-02T13:41:00Z,2109,1166,xxg1413,,0
8,PythonDataScienceHandbook,2016-08-10T14:24:36Z,2020-10-02T18:24:10Z,25735,11394,jakevdp,Jupyter Notebook,0
9,python,2014-06-20T22:55:57Z,2020-10-02T19:09:09Z,1466,634,docker-library,Dockerfile,0
10,awesome-python,2014-06-27T21:00:06Z,2020-10-02T22:44:21Z,87282,17164,vinta,Python,0
11,Python-100-Days,2018-03-01T16:05:52Z,2020-10-03T00:12:52Z,93339,37526,jackfrued,Jupyter Notebook,0
12,PythonRobotics,2016-03-21T09:34:43Z,2020-10-02T22:56:15Z,10257,3332,AtsushiSakai,Jupyter Notebook,0
13,Complete-Python-3-Bootcamp,2018-02-12T19:30:10Z,2020-10-02T20:43:12Z,12289,45068,Pierian-Data,Jupyter Notebook,0
14,learn-python3,2015-05-15T05:29:05Z,2020-10-02T16:40:35Z,4782,4400,michaelliao,,0
15,python3-cookbook,2014-08-19T03:13:07Z,2020-10-02T14:33:53Z,8442,2463,yidao620c,Jupyter Notebook,5
16,PythonSpiderNotes,2015-08-19T03:48:30Z,2020-10-02T15:52:44Z,5035,1981,lining0806,Python,0
17,python-patterns,2012-06-06T21:02:35Z,2020-10-02T20:22:27Z,25973,5451,faif,Python,0
18,python-guide,2011-03-15T03:24:20Z,2020-10-02T18:58:21Z,21670,5458,realpython,Batchfile,0
19,awesome-python3-webapp,2015-05-20T22:09:21Z,2020-10-01T10:26:16Z,1932,2742,michaelliao,,0
20,interview_python,2015-04-05T02:59:59Z,2020-10-02T08:29:27Z,13119,5106,taizilongxu,Shell,0
21,learn_python3_spider,2019-04-02T20:19:54Z,2020-10-02T08:34:10Z,4776,1422,wistbean,Python,0
22,python-spider,2017-05-05T07:28:13Z,2020-10-02T09:20:17Z,11375,4537,Jack-Cherish,Python,0
23,awesome-python-cn,2015-11-03T09:50:50Z,2020-10-02T13:54:26Z,20011,6534,jobbole,Makefile,0
24,python-cheatsheet,2018-01-25T04:16:53Z,2020-10-02T17:15:04Z,15520,3028,gto76,Python,0
25,pythonVSCode,2016-01-19T10:50:01Z,2020-10-01T22:02:33Z,1963,895,DonJayamanne,TypeScript,51
26,cpython,2017-02-10T19:23:51Z,2020-10-02T23:57:44Z,33784,16263,python,Python,0
27,Python-programming-exercises,2012-06-14T07:56:46Z,2020-10-02T23:59:07Z,11714,5186,zhiwehu,,0
28,PythonBooks,2012-08-26T00:18:06Z,2020-10-02T08:40:46Z,1632,792,revolunet,CSS,0
29,LearnPython,2016-10-13T02:30:15Z,2020-10-01T04:48:39Z,5254,3210,xianhu,Jupyter Notebook,0
30,python3-in-one-pic,2015-06-28T12:19:54Z,2020-10-02T17:08:10Z,4213,894,coodict,Jupyter Notebook,0
31,notes-python,2015-10-08T09:30:56Z,2020-10-02T04:00:34Z,5721,2781,lijin-THU,Jupyter Notebook,0
32,python-machine-learning-book,2015-08-07T20:39:29Z,2020-10-02T15:13:01Z,10904,4226,rasbt,Jupyter Notebook,3
33,practical-python,2020-05-24T19:50:08Z,2020-10-02T21:32:08Z,5434,2693,dabeaz-course,Python,0
34,aima-python,2016-02-02T00:11:19Z,2020-10-02T19:32:20Z,5016,2395,aimacode,Jupyter Notebook,0
35,python_koans,2010-03-01T17:04:31Z,2020-10-02T04:27:11Z,4171,2480,gregmalcolm,Python,0
36,learn-python3,2018-05-01T11:46:24Z,2020-10-02T10:23:32Z,2540,643,jerry-git,Python,0
